Values,AvgPrice
3718,195.27
2159193,100.99
79389,139.66
35567,38.58
2672,250.45
1057931,44.7
92731,244.99
4160,835.06
6,10.25
37410,18.29
10939,9.89
144000,26.17
20640,32777.45
680,300.53
5141,39.17
5873,40.86
27178,189.39
4800,88.57
97415,113.06
6000,21.7
6050,253.62
5867,3.28
39494,12.22
180824,254.37
91712,9.34
236938,37.7
55524,40.04
3290,10.67
1114,6.7
6458910,70
15821,24.07
1126,9.52
451,250.55
4472,13.17
473234,2535.75
308929,41.39
456236,13.15
13181,56.5
183466,799.16
2459,38.1
2481932,222.74
8598650,81.74
108,1180.02
50,1223.2
2605,1275.27
20689,2976.57
21796,72.41
502800,15.18
303618,142
8096,9577.51
7756,147.95
524458,217.48
33348,570.81
466939,1086.11
38819,751.46
812,2347.84
31780,7.45
5501,171.46
6038,34.14
3846,34.03
10125,70.67
1404,192.46
6043,226.78
43152887,67.52
112841,26.9
679338,1030.49
1772,14.31
606683,137.88
1599,686.61
3152,221.54
22175,149.28
4347,219.09
27596,570.36
12814,125.37
4000,26.83
4098766,190.62
4440,920.74
18112,412.26
18020,138.98
17034,2.48
11280,9.2
1714078,104.95
886122,128.66
219706,4.77
25455,0.5
30300,2.36
7407,207.1
22989,57.08
8778,67.14
18547,217.14
5116,178.17
8960,13.86
1268,26.05
37171,39.59
103129,214.27
89638,54.7
23943,36.86
3200,97.45
9000,26.42
11493,0.5
19376,3.21
118244,31.01
261370,97.12
91624,27.49
30290,1.45
34235,436.69
4361,307.27
1769088,69.37
12316,44.23
12000,31.45
15439,630.47
674452,10.98
160067,69.26
6000,40
182142,3.58
506604,1270.02
223,1358.85
60,1166.9
45397,901.29
75659,230.09
408885,368.93
32516,313.62
205497,178.44
16343,1.46
251433,755.55
625667,0.14
220302,28.02
3484,33.37
100550,187.73
19911,25.49
25285,93.15
201591,646.74
38952,206.27
11273,325.29
10,4.4
69121,174.06
1004,0.45
2181443,4.51
373,455.28
2102,1606.54
3908,848.84
243503,726.01
4726,666.22
1415243,530.05
1073063,63.77
103895838,12.26
6752768,101.15
400,1115
1480,1209.06
2670,1215.96
50,1245.9
1196268,99.81
19486,16.82
1,2.9
25327,771.4
7192034,317.11
2592,112.62
844,51.78
8,30.32
12000,58.5
6396828,1239.18
282,1974.45
1878224,39.45
4273637,320.24
545,557.75
2190,122.53
3107651,13.8
705712,443.28
12000,40.63
6764,613.47
1369,71.38
211,437.42
650810,52.29
20,974
50,955
10,1001.1
142223,72.95
271762,369
903474,247.37
864,280.29
21342,10.52
3000,73.33
15568,624.52
332315,34.1
1971,564.71
140033,181.14
1297441,12.48
2702,2.16
17440,122.86
6225,2.93
327834,14.1
24220,83.67
24162,265.46
7652068,27.27
229733,151.99
87000,114.66
40958,30.21
130980,201.88
27033,39.65
805289,4.23
5248163,3.68
2948,295.32
35322,5.85
37536,140.63
3389013,6.34
67446,331.71
8150,617.89
16676,6.42
501810,232.29
10758,109.33
879,668.86
9448536,75.91
27000,65.28
42000,71.43
706233,16.16
18729,259.59
74181,211.28
20752,270.03
739,86.27
1335,30.63
14998,6.27
19832,160.94
18103,5.32
77536,16
334,917.92
30512,313.23
185787,65.34
465200,71.21
631,25.48
16621,124.72
4827,6480.6
3507638,12.19
69824,365.11
25757,526.21
11667,34.33
16090,945.75
6652,104.14
6884,11.55
55604,307.91
141456,580.7
23951904,266.42
36,10756.71
232,11002.52
11,10855.18
1805,1.66
5170,5249.3
6362,266.7
191890,116.44
446139,45.98
77176,205.49
2942,237.51
2400,121.68
96173,231.9
143526,1.33
823349,55.94
4567,1075.08
199023,40.54
500,158.55
640,2773.29
10483,112.32
3775,255.47
1430,285.37
706,1705.95
601,2774.39
1,2700.04
115,2754.04
10,2730
28,2735
60,2741.27
4,2750.75
40,2860
120,2757.99
10,2700.04
1,2700.04
1,2710
800,2708.44
22,2785.02
1,1
61441,12.01
13227,19.96
52886,348.43
38171,153.84
27641,96.99
94478,1191.43
8720,129.71
27923,330.42
1751,1702.52
1,253
26595,5.05
11428,443.68
11925,451.5
23756,2.79
4453,74.85
61275,50.28
962,55.97
1816,275.28
33564,208.53
67318,562.7
4000,40.5
13124,17200.54
97269,189.53
21997,6.65
91250,96.42
17142,171.62
15296,265.92
184,1297.55
29494,1707.84
66,1070.82
92058,11.5
42834,7.77
5491,9.96
11164,28.06
21852,170.28
184750,939.55
75600,42.03
2000,41.7
980,16.25
13959,188.72
3600,87.42
13000,124.68
176169,15.34
1366,13.58
84107,306.97
12000,64.94
3393806,11.84
34241,954.08
56962,0.95
57190,10.55
3501,504.95
178758,28.42
19115,1703.87
50001,17.14
64435,108.07
26136,74.79
1000,36.3
60672,100.93
20285,713.72
24416,0.55
4124,404.05
48662,69.48
191533,36.35
99432,426.89
6400,51
41892,271.4
30369,1049.7
16320,398.49
18493,6.66
3567,34.64
530477,378.54
2772,606.55
594,1023.31
11101572,14.5
11200,57.77
9201,277.42
166762,360.47
127605,0.55
26658,80.79
398034,2.67
141592,27.83
12302,11.58
337381,48.83
8411,45.88
962284,32.77
48094,0.29
11625,418.95
9821,199.57
200,978.19
200,970
418,943.88
5341857,40.63
100,993
339,996.07
145,997.3
25,990
160,980.34
100,948.76
16,926
59,957.31
210,948.86
50,960
204461,1905.14
50683,164.34
32444,188.76
72000,13.76
79050,0.36
599156,1186.53
650,1087.23
20,1077
50,1790
246,1058.54
120,1010
10,1075
226,996.73
29,982.05
210,990.71
400,1001.55
25,990
125,994.4
18000,20.62
4682,1054.95
178755,2.4
3447,54.53
1472944,477.02
57799,101.44
100721,181.59
160286,119.47
2000,70
16793,26.28
18666,103.63
11555,336.35
2005,10.07
757653,327.88
2730538,4.96
25224,339.66
18172,420.34
65752,0.45
58538,7.07
168000,45.79
6876,678.03
3852,3891.23
752774,2.26
22136,1505.58
16938,109.2
1612,400.25
38576,588.16
190273,64.22
725304,1.66
4850782,640.68
387323,428.82
1198987,645.54
4568,127.67
9809,6.9
9410,245.41
23346,239.79
224000,27.39
78761,1054.85
52562,25.15
11824,8.98
27503,4.67
6000,83.35
6030,43.97
30975,252.98
167180,47.49
16000,28.5
1153569,281.48
43078298,6.16
6000,60.9
211344,134.37
4176,1554.2
2483,284.02
12255,1001.67
135464,3.3
