SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ANDHRACEMT, EQ, 26-Sep-2018,7.05,7.15,7.2,6.9,7.05,6.95,7.01,119673,8.39,234,87311,72.96
ANDHRSUGAR, EQ, 26-Sep-2018,375.75,382,388,360.05,360.05,363.25,373.02,204915,764.38,5726,62617,30.56
ANGIND, BE, 26-Sep-2018,2.45,2.5,2.5,2.35,2.5,2.5,2.36,1147,0.03,9, -, -
ANIKINDS, EQ, 26-Sep-2018,26.8,27.25,27.9,26.6,27.7,27.55,27.26,4140,1.13,49,2784,67.25
ANKITMETAL, BE, 26-Sep-2018,0.6,0.55,0.55,0.55,0.55,0.55,0.55,1394,0.01,13, -, -
ANSALAPI, EQ, 26-Sep-2018,12.1,12.4,12.85,11.75,11.9,11.9,12.13,150646,18.28,503,97402,64.66
ANSALHSG, EQ, 26-Sep-2018,11.75,12.6,12.7,11.05,11.5,11.55,11.83,57640,6.82,226,31356,54.4
ANTGRAPHIC, BE, 26-Sep-2018,0.5,0.45,0.5,0.45,0.5,0.5,0.49,13264,0.07,13, -, -
APARINDS, EQ, 26-Sep-2018,585,582.5,602.65,582.5,598.2,598.5,594.89,13492,80.26,356,11826,87.65
APCL, EQ, 26-Sep-2018,134.8,140,141.9,134,135.9,135.2,135.96,622,0.85,25,363,58.36
APCOTEXIND, EQ, 26-Sep-2018,587.85,585,598.5,585,592.05,595.15,590.94,5050,29.84,316,3173,62.83
APEX, EQ, 26-Sep-2018,351.3,354.05,363.05,352,358.9,358.65,357.26,55578,198.56,1916,21710,39.06
APLAPOLLO, EQ, 26-Sep-2018,1453.3,1469,1475,1380,1398,1396.55,1410.3,24218,341.55,2308,17037,70.35
APLLTD, EQ, 26-Sep-2018,647.4,636,659,636,650,649.05,650.13,203536,1323.25,6760,181050,88.95
APOLLO, EQ, 26-Sep-2018,129.15,129,135.95,128,129.05,129.3,129.68,16610,21.54,589,10826,65.18
APOLLOHOSP, EQ, 26-Sep-2018,1046.1,1049,1060,1032,1039,1043.3,1044.58,668783,6985.99,20668,295347,44.16
APOLLOTYRE, EQ, 26-Sep-2018,231.1,235,235,226.55,227.9,228.3,229.63,2397083,5504.31,32170,920020,38.38
APOLSINHOT, EQ, 26-Sep-2018,1260.3,1350,1350,1261.4,1263,1263,1301.84,61,0.79,19,35,57.38
APTECHT, EQ, 26-Sep-2018,175.9,175,178.05,171.35,173.5,173.65,174.02,217393,378.31,7960,147305,67.76
ARCHIDPLY, EQ, 26-Sep-2018,47.2,48.5,48.5,45.7,45.8,46,46.72,13493,6.3,162,10247,75.94
ARCHIES, EQ, 26-Sep-2018,25.9,26.45,26.75,25.65,26.5,26.15,26.14,22326,5.84,178,15084,67.56
ARCOTECH, BE, 26-Sep-2018,12,12,12.4,11.4,11.4,11.4,11.45,213130,24.4,284, -, -
ARIES, EQ, 26-Sep-2018,100,101,102.55,99.55,99.6,100,100.56,23719,23.85,311,16427,69.26
ARIHANT, EQ, 26-Sep-2018,33.9,31.25,35,31.25,32.9,32.9,33.41,101,0.03,14,61,60.4
ARIHANTSUP, EQ, 26-Sep-2018,65.3,69.9,78,65.6,66,66.2,67.74,26259,17.79,793,15476,58.94
ARMANFIN, EQ, 26-Sep-2018,350,363,373,345.05,372,368.6,357.46,5329,19.05,121,4062,76.22
AROGRANITE, EQ, 26-Sep-2018,53.6,53.95,55,53.35,53.8,53.6,54,10425,5.63,130,9229,88.53
ARROWGREEN, EQ, 26-Sep-2018,123.1,117.05,128.5,117.05,118.95,118.5,119.45,10050,12.01,229,7674,76.36
ARROWTEX, EQ, 26-Sep-2018,28.1,28.1,28.95,28.1,28.1,28.2,28.2,8205,2.31,36,6997,85.28
ARSHIYA, EQ, 26-Sep-2018,36.15,36.05,39.6,36.05,38.25,38.35,38.26,208569,79.81,1315,36789,17.64
ARSSINFRA, EQ, 26-Sep-2018,25.65,24.9,25.95,24.4,25.9,25.4,24.99,19787,4.95,109,15367,77.66
ARTNIRMAN, SM, 26-Sep-2018,18.5,20,20,20,20,20,20,12000,2.4,2,12000,100
ARVIND, EQ, 26-Sep-2018,344.75,343.5,358.75,343.5,352.7,352.2,351.84,2724729,9586.77,41673,759065,27.86
ARVSMART, EQ, 26-Sep-2018,134.75,134.75,136,133,133.5,133.65,134.26,12600,16.92,145,7408,58.79
ASAHIINDIA, EQ, 26-Sep-2018,325.4,326.05,338,324.5,337.25,335.95,330.52,22216,73.43,392,17291,77.83
ASAHISONG, EQ, 26-Sep-2018,254.2,259.25,272,250.3,254.2,254.9,260.22,3145,8.18,180,2136,67.92
ASAL, EQ, 26-Sep-2018,51.5,53.05,53.05,50.6,51,50.85,51.44,5502,2.83,96,4556,82.81
ASHAPURMIN, EQ, 26-Sep-2018,34.55,35,35,33.5,35,34.65,34.55,48131,16.63,355,25825,53.66
ASHIANA, EQ, 26-Sep-2018,134.2,134.6,139.2,133.95,138.8,136.7,135.61,34008,46.12,980,25967,76.36
ASHIMASYN, EQ, 26-Sep-2018,16.4,16.3,17,16.25,16.5,16.6,16.58,42329,7.02,234,29099,68.74
ASHOKA, EQ, 26-Sep-2018,116.8,120,120,111.1,113,113.9,114.14,307034,350.46,6043,174044,56.69
ASHOKLEY, EQ, 26-Sep-2018,121.9,122.25,123.3,119.5,120.55,120.65,121.04,11082330,13414.52,48363,2422512,21.86
ASIANHOTNR, EQ, 26-Sep-2018,201.3,201.05,201.05,200.05,200.05,200.15,200.17,127,0.25,7,101,79.53
ASIANPAINT, EQ, 26-Sep-2018,1289.9,1300,1303.5,1274,1280,1282,1283.17,1338324,17172.96,51746,897160,67.04
ASIANTILES, EQ, 26-Sep-2018,211.8,214.8,214.8,200.15,202.15,202.55,206.11,30649,63.17,1444,18283,59.65
ASPINWALL, EQ, 26-Sep-2018,200,200,211,200,211,211,209.36,4430,9.27,60,3878,87.54
ASSAMCO, BE, 26-Sep-2018,3.7,3.55,3.55,3.55,3.55,3.55,3.55,236268,8.39,109, -, -
ASTEC, EQ, 26-Sep-2018,550.9,560,568.1,540,541,545,548.55,19708,108.11,1493,7421,37.65
ASTERDM, EQ, 26-Sep-2018,155.45,156.05,160.9,156,160.7,159.45,158.72,26694,42.37,1680,18722,70.14
ASTRAL, EQ, 26-Sep-2018,1008.5,1000,1040,972.3,973.25,989.6,989.12,54413,538.21,4042,28030,51.51
ASTRAMICRO, EQ, 26-Sep-2018,86.1,86.3,97.05,81.45,95.05,91.95,87.18,5747004,5010.1,11817,4775194,83.09
ASTRAZEN, EQ, 26-Sep-2018,1660.05,1661,1708.8,1661,1680.5,1688.6,1686.7,7726,130.31,1043,2508,32.46
ASTRON, EQ, 26-Sep-2018,126.1,127.15,129.15,122.35,123,124,126.04,200404,252.59,2757,70165,35.01
ATFL, EQ, 26-Sep-2018,614.25,619.15,630,610,618.4,618.95,619.91,4259,26.4,387,2004,47.05
ATLANTA, EQ, 26-Sep-2018,30.7,31.25,32.2,29.3,30.75,30.2,30.88,43262,13.36,519,24140,55.8
ATLASCYCLE, BZ, 26-Sep-2018,117,113,115.05,111.15,111.15,111.3,112,3031,3.39,92, -, -
ATUL, EQ, 26-Sep-2018,3150.55,3100.05,3257.95,3100.05,3200.05,3225.5,3211.63,10907,350.29,1623,5847,53.61
ATULAUTO, EQ, 26-Sep-2018,341.7,342,345.45,337.05,337.05,337.6,339.47,16550,56.18,1902,15307,92.49
AUBANK, EQ, 26-Sep-2018,623.65,628.3,634.9,613.3,614.9,617.8,623.29,441370,2751.02,18218,359905,81.54
AURDIS, SM, 26-Sep-2018,23.7,22.55,22.6,22.55,22.6,22.6,22.57,6000,1.35,3,6000,100
AURIONPRO, EQ, 26-Sep-2018,172.1,168,170,160.35,162.55,164.6,164.4,15235,25.05,329,10150,66.62
AUROPHARMA, EQ, 26-Sep-2018,761.05,768.5,785.1,755.1,759.6,759.1,768.74,4947221,38031.27,102826,1480916,29.93
AUSOMENT, EQ, 26-Sep-2018,57.6,57.05,58.6,55.1,55.1,55.65,56.6,1801,1.02,61,1200,66.63
AUTOAXLES, EQ, 26-Sep-2018,1320.75,1334.8,1349.55,1292,1312,1312.2,1322.29,14629,193.44,1377,7512,51.35
